question,answer,category
What is studied in the "Introduction to Programming" (CSC 101) course?,"This foundational course covers logic development, pseudocode, and basic syntax using languages like Python or C++.",Courses
Is "English Composition" (ENGL 101) mandatory for all students?,"Yes, it is a General Education Requirement (GER) designed to improve academic writing and rhetorical skills for all undergraduates.",Courses
What does the "Constitutional Law I" course cover?,"Students examine the fundamental principles of Gambian constitutional law, including the separation of powers and the Bill of Rights.",Courses
What are the core modules in the "Data Science" diploma?,"Key modules include Data Preprocessing, Statistical Modeling, and Machine Learning using Python.",Courses
What is taught in "Principles of Management" (MGT 101)?,"The course introduces the four functions of management: planning, organizing, leading, and controlling.",Courses
Does the Nursing program include "Human Anatomy and Physiology"?,"Yes, these are core Year 1 courses that provide the biological foundation for clinical practice.",Courses
What is the focus of "Macroeconomics" (ECO 102)?,"It focuses on aggregate economic behavior, including national income, inflation, and fiscal policy.",Courses
Is "Calculus I" (MAT 101) required for ICT students?,"Yes, it is a core requirement for Computer Science and Engineering tracks to build analytical foundations.",Courses
What is "African History to 1800" (HIST 101)?,"A survey course exploring pre-colonial African civilizations, trade networks, and social structures.",Courses
What do students learn in "Database Management Systems" (CSC 202)?,"The course covers SQL, relational database design, and normalization techniques.",Courses
Is "Islamic Jurisprudence" a course in the Law faculty?,"Yes, it is offered to provide students with a comprehensive understanding of Sharia principles and legal applications.",Courses
What is the content of "Introduction to Public Health"?,"It explores the history of public health, epidemiology, and strategies for disease prevention in communities.",Courses
Does the Agriculture program have a course on "Soil Science"?,"Yes, students learn about soil composition, fertility, and sustainable land management practices.",Courses
What is "Digital Marketing" (MKT 305)?,"A specialized business course covering SEO, social media strategy, and online consumer behavior.",Courses
What is taught in "Environmental Chemistry"?,"The course examines chemical processes in the environment and the impact of pollutants on ecosystems.",Courses
What is "Media Law and Ethics"?,"A core course for Journalism students covering defamation, freedom of expression, and professional codes of conduct.",Courses
Does UTG offer a course on "Renewable Energy Systems"?,"Yes, it is a specialized module within the Physics and Engineering programs focusing on solar and wind energy.",Courses
What is "Financial Accounting I" (ACC 101)?,"The introductory course covering the accounting cycle, ledger entries, and preparation of financial statements.",Courses
What is "Software Engineering" (CSC 301)?,"A course focused on the software development lifecycle, project management, and design patterns.",Courses
Is "French for Beginners" available as an elective?,"Yes, the School of Arts and Sciences offers introductory French to help students meet language requirements.",Courses
What is studied in "International Relations" (POL 201)?,"Students analyze global political dynamics, the role of international organizations, and foreign policy.",Courses
What is "Development Studies" (DEV 101)?,"An interdisciplinary course examining the theories and practices of socio-economic development globally and in Africa.",Courses
What is the focus of "Operating Systems" (CSC 305)?,"It covers process management, memory allocation, file systems, and hardware-software interaction.",Courses
Is there a course on "Auditing" for Accountancy students?,"Yes, the Auditing course covers internal controls, professional standards, and the examination of financial records.",Courses
What is "Educational Psychology"?,"A core course for B.Ed students focusing on how people learn and the psychological factors affecting education.",Courses
What do students learn in "Discrete Mathematics"?,"The course focuses on mathematical structures that are fundamentally discrete, which is essential for computer science algorithms.",Courses
What is "Public Administration in The Gambia"?,"A specialized course exploring the structure and function of the Gambian civil service and government institutions.",Courses
Does the Medical program include "Pharmacology"?,"Yes, it is a critical course focusing on drug actions, interactions, and therapeutic uses.",Courses
What is "Introduction to Sociology" (SOC 101)?,"A survey of social structures, institutions, and the relationship between individuals and society.",Courses
